part_id,agent_type,block,trial_no,q1,q2,q3,q4,q5,q6
1101,RL,1.0,2,5.0,5.0,1.0,7.0,6.0,0.0
1101,RL,1.0,6,6.0,5.0,5.0,6.0,7.0,1.0
1101,RL,2.0,10,7.0,5.0,7.0,6.0,7.0,1.0
1101,RL,2.0,16,5.0,6.0,4.0,3.0,5.0,0.0
1101,RL_HP,1.0,4,2.0,2.0,6.0,6.0,6.0,0.0
1101,RL_HP,1.0,8,2.0,2.0,1.0,6.0,3.0,1.0
1101,RL_HP,2.0,12,3.0,3.0,3.0,6.0,4.0,0.0
1101,RL_HP,2.0,14,2.0,1.0,3.0,6.0,3.0,0.0
1102,RL,1.0,4,6.0,5.0,3.0,5.0,6.0,1.0
1102,RL,1.0,8,3.0,3.0,4.0,3.0,4.0,0.0
1102,RL,2.0,10,3.0,3.0,6.0,4.0,3.0,0.0
1102,RL,2.0,16,6.0,6.0,3.0,6.0,4.0,0.0
1102,RL_HP,1.0,2,3.0,5.0,4.0,6.0,3.0,0.0
1102,RL_HP,1.0,6,6.0,7.0,4.0,5.0,4.0,1.0
1102,RL_HP,2.0,12,5.0,6.0,3.0,3.0,6.0,0.0
1102,RL_HP,2.0,14,3.0,3.0,2.0,4.0,6.0,1.0
1103,RL,1.0,2,5.0,5.0,7.0,7.0,5.0,0.0
1103,RL,1.0,8,7.0,6.0,6.0,7.0,7.0,1.0
1103,RL,2.0,12,7.0,7.0,7.0,7.0,7.0,1.0
1103,RL,2.0,16,3.0,3.0,3.0,2.0,2.0,0.0
1103,RL_HP,1.0,4,6.0,7.0,7.0,6.0,7.0,0.0
1103,RL_HP,1.0,6,4.0,5.0,5.0,7.0,4.0,0.0
1103,RL_HP,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
1103,RL_HP,2.0,14,7.0,7.0,7.0,7.0,7.0,1.0
1104,RL,1.0,4,1.0,1.0,1.0,1.0,1.0,
1104,RL,1.0,6,1.0,2.0,2.0,2.0,2.0,
1104,RL,2.0,12,2.0,1.0,1.0,1.0,2.0,
1104,RL,2.0,16,2.0,2.0,2.0,2.0,2.0,
1104,RL_HP,1.0,2,2.0,2.0,2.0,1.0,1.0,
1104,RL_HP,1.0,8,3.0,4.0,4.0,2.0,4.0,
1104,RL_HP,2.0,10,1.0,1.0,1.0,1.0,1.0,
1104,RL_HP,2.0,14,2.0,2.0,2.0,2.0,1.0,
1105,RL,1.0,2,3.0,3.0,5.0,4.0,2.0,0.0
1105,RL,1.0,8,2.0,3.0,3.0,4.0,4.0,
1105,RL,2.0,10,3.0,3.0,2.0,3.0,4.0,0.0
1105,RL,2.0,16,2.0,3.0,2.0,3.0,2.0,0.0
1105,RL_HP,1.0,4,5.0,3.0,3.0,2.0,4.0,
1105,RL_HP,1.0,6,4.0,3.0,4.0,3.0,3.0,
1105,RL_HP,2.0,12,2.0,3.0,3.0,3.0,2.0,0.0
1105,RL_HP,2.0,14,2.0,3.0,2.0,3.0,2.0,0.0
1106,RL,1.0,2,3.0,3.0,1.0,7.0,2.0,0.0
1106,RL,1.0,6,1.0,1.0,1.0,7.0,1.0,0.0
1106,RL,2.0,10,4.0,3.0,4.0,6.0,6.0,1.0
1106,RL,2.0,16,3.0,3.0,1.0,7.0,6.0,1.0
1106,RL_HP,1.0,4,6.0,6.0,5.0,2.0,5.0,1.0
1106,RL_HP,1.0,8,7.0,7.0,6.0,2.0,6.0,1.0
1106,RL_HP,2.0,12,7.0,6.0,7.0,2.0,7.0,1.0
1106,RL_HP,2.0,14,7.0,7.0,7.0,2.0,6.0,1.0
1107,RL,1.0,2,4.0,5.0,6.0,2.0,3.0,0.0
1107,RL,1.0,8,1.0,2.0,1.0,3.0,4.0,1.0
1107,RL,2.0,12,2.0,3.0,2.0,2.0,1.0,0.0
1107,RL,2.0,14,6.0,7.0,6.0,5.0,5.0,1.0
1107,RL_HP,1.0,4,7.0,6.0,7.0,7.0,6.0,1.0
1107,RL_HP,1.0,6,1.0,2.0,2.0,3.0,3.0,0.0
1107,RL_HP,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
1107,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
1108,RL,1.0,2,5.0,7.0,6.0,7.0,5.0,
1108,RL,1.0,6,6.0,6.0,5.0,7.0,1.0,
1108,RL,2.0,12,6.0,6.0,5.0,7.0,5.0,
1108,RL,2.0,16,6.0,6.0,6.0,7.0,7.0,
1108,RL_HP,1.0,4,6.0,7.0,6.0,7.0,5.0,
1108,RL_HP,1.0,8,5.0,6.0,7.0,7.0,6.0,
1108,RL_HP,2.0,10,6.0,7.0,6.0,7.0,5.0,
1108,RL_HP,2.0,14,6.0,6.0,7.0,7.0,6.0,
1109,RL,1.0,4,2.0,1.0,1.0,1.0,1.0,
1109,RL,1.0,8,7.0,6.0,5.0,6.0,6.0,1.0
1109,RL,2.0,12,1.0,1.0,1.0,1.0,1.0,
1109,RL,2.0,14,2.0,1.0,1.0,1.0,1.0,
1109,RL_HP,1.0,2,3.0,4.0,5.0,3.0,1.0,0.0
1109,RL_HP,1.0,6,3.0,4.0,4.0,7.0,1.0,0.0
1109,RL_HP,2.0,10,4.0,3.0,2.0,6.0,1.0,0.0
1109,RL_HP,2.0,16,3.0,4.0,5.0,5.0,1.0,0.0
1110,RL,1.0,4,5.0,6.0,7.0,7.0,7.0,1.0
1110,RL,1.0,6,6.0,6.0,5.0,6.0,5.0,0.0
1110,RL,2.0,10,5.0,6.0,7.0,1.0,1.0,1.0
1110,RL,2.0,14,7.0,6.0,7.0,7.0,7.0,1.0
1110,RL_HP,1.0,2,5.0,4.0,6.0,6.0,6.0,1.0
1110,RL_HP,1.0,8,1.0,1.0,1.0,1.0,1.0,
1110,RL_HP,2.0,12,6.0,6.0,6.0,6.0,6.0,1.0
1110,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
1111,RL,1.0,2,6.0,5.0,4.0,7.0,6.0,
1111,RL,1.0,8,6.0,5.0,7.0,7.0,7.0,1.0
1111,RL,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
1111,RL,2.0,14,6.0,7.0,7.0,7.0,7.0,1.0
1111,RL_HP,1.0,4,7.0,7.0,6.0,5.0,6.0,1.0
1111,RL_HP,1.0,6,7.0,7.0,6.0,7.0,7.0,1.0
1111,RL_HP,2.0,12,7.0,7.0,7.0,7.0,7.0,1.0
1111,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
1112,RL,1.0,4,7.0,5.0,5.0,3.0,7.0,1.0
1112,RL,1.0,6,7.0,5.0,3.0,3.0,7.0,1.0
1112,RL,2.0,10,5.0,4.0,2.0,5.0,4.0,
1112,RL,2.0,14,7.0,6.0,5.0,2.0,6.0,
1112,RL_HP,1.0,2,7.0,7.0,4.0,1.0,7.0,
1112,RL_HP,1.0,8,7.0,6.0,7.0,2.0,6.0,1.0
1112,RL_HP,2.0,12,7.0,6.0,6.0,2.0,7.0,
1112,RL_HP,2.0,16,7.0,7.0,7.0,1.0,7.0,
1113,RL,1.0,2,4.0,4.0,4.0,4.0,5.0,
1113,RL,1.0,6,5.0,5.0,5.0,5.0,5.0,1.0
1113,RL,2.0,12,5.0,6.0,5.0,6.0,6.0,
1113,RL,2.0,16,1.0,5.0,5.0,5.0,5.0,
1113,RL_HP,1.0,4,5.0,5.0,3.0,5.0,5.0,
1113,RL_HP,1.0,8,6.0,6.0,4.0,5.0,5.0,
1113,RL_HP,2.0,10,5.0,5.0,5.0,5.0,2.0,
1113,RL_HP,2.0,14,2.0,2.0,2.0,1.0,1.0,
1114,RL,1.0,4,4.0,2.0,3.0,2.0,2.0,0.0
1114,RL,1.0,6,1.0,2.0,5.0,2.0,5.0,0.0
1114,RL,2.0,10,4.0,2.0,4.0,1.0,4.0,0.0
1114,RL,2.0,16,5.0,5.0,5.0,6.0,6.0,0.0
1114,RL_HP,1.0,2,6.0,5.0,1.0,4.0,4.0,0.0
1114,RL_HP,1.0,8,6.0,6.0,6.0,7.0,6.0,0.0
1114,RL_HP,2.0,12,6.0,5.0,5.0,5.0,5.0,0.0
1114,RL_HP,2.0,14,6.0,6.0,5.0,5.0,6.0,0.0
1115,RL,1.0,2,4.0,5.0,5.0,5.0,6.0,
1115,RL,1.0,8,6.0,6.0,5.0,5.0,5.0,
1115,RL,2.0,10,5.0,4.0,4.0,4.0,4.0,
1115,RL,2.0,14,3.0,3.0,3.0,3.0,3.0,
1115,RL_HP,1.0,4,7.0,7.0,7.0,4.0,6.0,
1115,RL_HP,1.0,6,7.0,7.0,6.0,6.0,6.0,
1115,RL_HP,2.0,12,6.0,6.0,5.0,5.0,5.0,
1115,RL_HP,2.0,16,6.0,5.0,5.0,5.0,5.0,
1116,RL,1.0,2,5.0,5.0,6.0,3.0,2.0,0.0
1116,RL,1.0,8,7.0,7.0,6.0,3.0,2.0,0.0
1116,RL,2.0,10,5.0,5.0,3.0,4.0,2.0,0.0
1116,RL,2.0,16,7.0,5.0,6.0,2.0,2.0,0.0
1116,RL_HP,1.0,4,3.0,5.0,3.0,1.0,6.0,1.0
1116,RL_HP,1.0,6,3.0,6.0,5.0,7.0,6.0,0.0
1116,RL_HP,2.0,12,5.0,5.0,4.0,6.0,5.0,0.0
1116,RL_HP,2.0,14,6.0,6.0,6.0,3.0,2.0,0.0
1117,RL,1.0,2,1.0,1.0,1.0,1.0,1.0,
1117,RL,1.0,8,4.0,3.0,3.0,4.0,3.0,0.0
1117,RL,2.0,10,5.0,6.0,4.0,4.0,6.0,0.0
1117,RL,2.0,16,5.0,4.0,4.0,4.0,4.0,0.0
1117,RL_HP,1.0,4,1.0,1.0,1.0,1.0,1.0,
1117,RL_HP,1.0,6,6.0,5.0,4.0,6.0,5.0,0.0
1117,RL_HP,2.0,12,6.0,6.0,5.0,5.0,5.0,0.0
1117,RL_HP,2.0,14,6.0,5.0,5.0,5.0,5.0,0.0
1118,RL,1.0,4,2.0,2.0,2.0,6.0,1.0,1.0
1118,RL,1.0,6,6.0,6.0,6.0,4.0,2.0,0.0
1118,RL,2.0,10,4.0,4.0,2.0,6.0,3.0,1.0
1118,RL,2.0,16,4.0,3.0,3.0,5.0,4.0,1.0
1118,RL_HP,1.0,2,4.0,4.0,5.0,1.0,4.0,0.0
1118,RL_HP,1.0,8,5.0,6.0,6.0,6.0,6.0,0.0
1118,RL_HP,2.0,12,6.0,6.0,6.0,6.0,6.0,0.0
1118,RL_HP,2.0,14,7.0,7.0,7.0,5.0,7.0,0.0
1119,RL,1.0,2,4.0,4.0,2.0,6.0,3.0,
1119,RL,1.0,6,7.0,6.0,3.0,6.0,5.0,
1119,RL,2.0,12,7.0,6.0,4.0,5.0,3.0,0.0
1119,RL,2.0,14,5.0,5.0,6.0,5.0,6.0,1.0
1119,RL_HP,1.0,4,6.0,6.0,5.0,7.0,1.0,0.0
1119,RL_HP,1.0,8,5.0,4.0,5.0,5.0,5.0,0.0
1119,RL_HP,2.0,10,3.0,4.0,3.0,3.0,3.0,0.0
1119,RL_HP,2.0,16,7.0,6.0,5.0,5.0,5.0,1.0
1120,RL,1.0,4,3.0,6.0,3.0,5.0,5.0,
1120,RL,1.0,6,5.0,5.0,4.0,4.0,3.0,
1120,RL,2.0,12,1.0,5.0,1.0,6.0,1.0,
1120,RL,2.0,16,2.0,2.0,2.0,6.0,4.0,0.0
1120,RL_HP,1.0,2,6.0,7.0,6.0,2.0,7.0,0.0
1120,RL_HP,1.0,8,7.0,7.0,6.0,1.0,3.0,0.0
1120,RL_HP,2.0,10,7.0,7.0,7.0,1.0,1.0,0.0
1120,RL_HP,2.0,14,7.0,7.0,7.0,1.0,1.0,
2101,RL,1.0,2,3.0,3.0,1.0,6.0,1.0,
2101,RL,1.0,8,5.0,6.0,6.0,4.0,5.0,1.0
2101,RL,2.0,12,3.0,2.0,2.0,6.0,2.0,0.0
2101,RL,2.0,16,4.0,4.0,4.0,6.0,3.0,1.0
2101,RL_HP,1.0,4,5.0,5.0,3.0,6.0,1.0,0.0
2101,RL_HP,1.0,6,6.0,6.0,5.0,6.0,5.0,
2101,RL_HP,2.0,10,6.0,6.0,6.0,6.0,4.0,1.0
2101,RL_HP,2.0,14,5.0,5.0,5.0,6.0,3.0,
2102,RL,1.0,4,5.0,5.0,3.0,5.0,4.0,0.0
2102,RL,1.0,6,6.0,6.0,5.0,3.0,6.0,
2102,RL,2.0,12,6.0,4.0,5.0,5.0,5.0,1.0
2102,RL,2.0,14,3.0,4.0,2.0,5.0,3.0,0.0
2102,RL_HP,1.0,2,7.0,7.0,5.0,4.0,6.0,1.0
2102,RL_HP,1.0,8,4.0,5.0,3.0,4.0,3.0,0.0
2102,RL_HP,2.0,10,5.0,4.0,2.0,4.0,4.0,0.0
2102,RL_HP,2.0,16,7.0,7.0,6.0,5.0,6.0,1.0
2103,RL,1.0,2,5.0,5.0,6.0,4.0,6.0,0.0
2103,RL,1.0,6,3.0,4.0,7.0,6.0,2.0,0.0
2103,RL,2.0,12,6.0,6.0,7.0,7.0,5.0,
2103,RL,2.0,14,7.0,7.0,7.0,4.0,7.0,
2103,RL_HP,1.0,4,7.0,6.0,7.0,6.0,7.0,
2103,RL_HP,1.0,8,7.0,7.0,3.0,7.0,6.0,
2103,RL_HP,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
2103,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
2104,RL,1.0,4,3.0,2.0,2.0,7.0,2.0,0.0
2104,RL,1.0,8,4.0,4.0,2.0,5.0,1.0,1.0
2104,RL,2.0,10,5.0,4.0,3.0,5.0,4.0,1.0
2104,RL,2.0,14,6.0,7.0,4.0,4.0,5.0,1.0
2104,RL_HP,1.0,2,6.0,6.0,3.0,6.0,3.0,
2104,RL_HP,1.0,6,5.0,6.0,2.0,6.0,2.0,0.0
2104,RL_HP,2.0,12,6.0,7.0,5.0,4.0,3.0,0.0
2104,RL_HP,2.0,16,3.0,2.0,2.0,7.0,1.0,0.0
2105,RL,1.0,4,5.0,5.0,5.0,5.0,6.0,
2105,RL,1.0,8,1.0,6.0,6.0,6.0,6.0,
2105,RL,2.0,10,6.0,6.0,6.0,6.0,6.0,
2105,RL,2.0,16,4.0,5.0,6.0,5.0,5.0,
2105,RL_HP,1.0,2,5.0,6.0,5.0,6.0,3.0,1.0
2105,RL_HP,1.0,6,4.0,5.0,4.0,5.0,4.0,
2105,RL_HP,2.0,12,5.0,5.0,4.0,5.0,4.0,
2105,RL_HP,2.0,14,6.0,6.0,4.0,5.0,3.0,
2106,RL,1.0,2,4.0,6.0,6.0,3.0,7.0,1.0
2106,RL,1.0,6,5.0,6.0,6.0,7.0,7.0,1.0
2106,RL,2.0,10,6.0,7.0,7.0,7.0,7.0,1.0
2106,RL,2.0,16,7.0,7.0,7.0,6.0,6.0,0.0
2106,RL_HP,1.0,4,7.0,7.0,5.0,7.0,6.0,1.0
2106,RL_HP,1.0,8,7.0,7.0,7.0,7.0,7.0,1.0
2106,RL_HP,2.0,12,7.0,6.0,6.0,6.0,6.0,1.0
2106,RL_HP,2.0,14,7.0,7.0,7.0,6.0,6.0,1.0
2107,RL,1.0,2,3.0,3.0,5.0,5.0,2.0,
2107,RL,1.0,8,5.0,4.0,3.0,6.0,2.0,0.0
2107,RL,2.0,10,4.0,5.0,3.0,4.0,2.0,0.0
2107,RL,2.0,14,3.0,3.0,3.0,6.0,2.0,1.0
2107,RL_HP,1.0,4,6.0,5.0,5.0,6.0,6.0,1.0
2107,RL_HP,1.0,6,7.0,7.0,6.0,7.0,6.0,1.0
2107,RL_HP,2.0,12,5.0,5.0,6.0,6.0,4.0,1.0
2107,RL_HP,2.0,16,7.0,6.0,6.0,6.0,5.0,1.0
2108,RL,1.0,2,6.0,6.0,4.0,7.0,6.0,
2108,RL,1.0,6,7.0,6.0,5.0,7.0,6.0,1.0
2108,RL,2.0,10,7.0,7.0,6.0,7.0,6.0,1.0
2108,RL,2.0,14,6.0,6.0,5.0,7.0,5.0,1.0
2108,RL_HP,1.0,4,7.0,7.0,6.0,6.0,7.0,1.0
2108,RL_HP,1.0,8,7.0,7.0,6.0,7.0,7.0,1.0
2108,RL_HP,2.0,12,5.0,4.0,3.0,7.0,4.0,1.0
2108,RL_HP,2.0,16,7.0,7.0,6.0,7.0,6.0,1.0
2109,RL,1.0,2,5.0,6.0,4.0,3.0,7.0,0.0
2109,RL,1.0,6,3.0,3.0,7.0,7.0,7.0,0.0
2109,RL,2.0,10,7.0,7.0,2.0,7.0,4.0,0.0
2109,RL,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
2109,RL_HP,1.0,4,4.0,4.0,7.0,7.0,7.0,1.0
2109,RL_HP,1.0,8,7.0,7.0,6.0,5.0,7.0,1.0
2109,RL_HP,2.0,12,4.0,6.0,5.0,5.0,4.0,0.0
2109,RL_HP,2.0,14,3.0,3.0,6.0,2.0,3.0,0.0
2110,RL,1.0,4,7.0,7.0,1.0,7.0,7.0,1.0
2110,RL,1.0,8,6.0,7.0,5.0,7.0,7.0,1.0
2110,RL,2.0,12,7.0,7.0,2.0,7.0,7.0,1.0
2110,RL,2.0,14,7.0,7.0,1.0,7.0,6.0,1.0
2110,RL_HP,1.0,2,2.0,4.0,7.0,7.0,6.0,1.0
2110,RL_HP,1.0,6,3.0,5.0,4.0,7.0,5.0,0.0
2110,RL_HP,2.0,10,2.0,2.0,7.0,7.0,2.0,0.0
2110,RL_HP,2.0,16,1.0,3.0,7.0,7.0,1.0,0.0
2111,RL,1.0,4,6.0,6.0,6.0,5.0,5.0,0.0
2111,RL,1.0,8,3.0,4.0,3.0,4.0,4.0,0.0
2111,RL,2.0,10,4.0,5.0,4.0,5.0,5.0,0.0
2111,RL,2.0,14,6.0,5.0,4.0,5.0,4.0,0.0
2111,RL_HP,1.0,2,3.0,3.0,2.0,4.0,3.0,0.0
2111,RL_HP,1.0,6,6.0,5.0,5.0,4.0,5.0,0.0
2111,RL_HP,2.0,12,6.0,4.0,5.0,3.0,4.0,0.0
2111,RL_HP,2.0,16,5.0,5.0,5.0,4.0,5.0,0.0
2112,RL,1.0,2,4.0,5.0,5.0,5.0,4.0,0.0
2112,RL,1.0,6,5.0,5.0,3.0,5.0,3.0,0.0
2112,RL,2.0,10,6.0,7.0,5.0,6.0,5.0,0.0
2112,RL,2.0,16,7.0,7.0,5.0,6.0,5.0,0.0
2112,RL_HP,1.0,4,3.0,3.0,3.0,5.0,3.0,0.0
2112,RL_HP,1.0,8,6.0,7.0,5.0,5.0,5.0,0.0
2112,RL_HP,2.0,12,5.0,6.0,5.0,6.0,5.0,0.0
2112,RL_HP,2.0,14,6.0,6.0,5.0,6.0,5.0,0.0
2113,RL,1.0,4,7.0,7.0,6.0,6.0,7.0,0.0
2113,RL,1.0,8,6.0,4.0,3.0,5.0,4.0,
2113,RL,2.0,12,7.0,6.0,6.0,6.0,7.0,0.0
2113,RL,2.0,14,5.0,6.0,4.0,7.0,6.0,1.0
2113,RL_HP,1.0,2,5.0,6.0,5.0,7.0,5.0,
2113,RL_HP,1.0,6,4.0,5.0,4.0,6.0,3.0,
2113,RL_HP,2.0,10,6.0,6.0,7.0,5.0,6.0,
2113,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
2114,RL,1.0,2,4.0,4.0,2.0,2.0,2.0,
2114,RL,1.0,6,5.0,7.0,6.0,6.0,7.0,
2114,RL,2.0,12,7.0,6.0,6.0,5.0,6.0,
2114,RL,2.0,14,7.0,7.0,7.0,6.0,6.0,1.0
2114,RL_HP,1.0,4,7.0,7.0,7.0,6.0,6.0,
2114,RL_HP,1.0,8,4.0,5.0,4.0,5.0,7.0,
2114,RL_HP,2.0,10,3.0,3.0,2.0,3.0,3.0,
2114,RL_HP,2.0,16,4.0,4.0,3.0,6.0,3.0,0.0
2115,RL,1.0,4,7.0,7.0,5.0,5.0,6.0,1.0
2115,RL,1.0,8,4.0,4.0,3.0,3.0,5.0,0.0
2115,RL,2.0,10,7.0,7.0,1.0,1.0,7.0,1.0
2115,RL,2.0,16,3.0,3.0,4.0,3.0,4.0,1.0
2115,RL_HP,1.0,2,2.0,2.0,2.0,3.0,4.0,0.0
2115,RL_HP,1.0,6,4.0,4.0,3.0,3.0,6.0,1.0
2115,RL_HP,2.0,12,5.0,4.0,2.0,1.0,5.0,1.0
2115,RL_HP,2.0,14,3.0,4.0,3.0,5.0,2.0,0.0
2116,RL,1.0,4,5.0,5.0,4.0,2.0,3.0,0.0
2116,RL,1.0,6,6.0,5.0,5.0,5.0,5.0,1.0
2116,RL,2.0,12,6.0,6.0,5.0,1.0,6.0,1.0
2116,RL,2.0,16,7.0,7.0,6.0,3.0,1.0,
2116,RL_HP,1.0,2,6.0,4.0,4.0,6.0,4.0,
2116,RL_HP,1.0,8,6.0,6.0,6.0,6.0,5.0,0.0
2116,RL_HP,2.0,10,6.0,6.0,6.0,6.0,6.0,0.0
2116,RL_HP,2.0,14,7.0,7.0,6.0,2.0,5.0,
2117,RL,1.0,4,6.0,6.0,6.0,6.0,6.0,1.0
2117,RL,1.0,8,1.0,1.0,1.0,1.0,1.0,0.0
2117,RL,2.0,10,1.0,1.0,1.0,1.0,1.0,
2117,RL,2.0,16,4.0,4.0,4.0,4.0,4.0,
2117,RL_HP,1.0,2,4.0,5.0,4.0,4.0,4.0,
2117,RL_HP,1.0,6,5.0,5.0,5.0,5.0,5.0,
2117,RL_HP,2.0,12,5.0,5.0,5.0,5.0,1.0,1.0
2117,RL_HP,2.0,14,4.0,4.0,4.0,4.0,4.0,
2118,RL,1.0,2,7.0,5.0,5.0,5.0,1.0,0.0
2118,RL,1.0,8,6.0,6.0,5.0,7.0,7.0,1.0
2118,RL,2.0,10,6.0,6.0,6.0,7.0,5.0,0.0
2118,RL,2.0,14,5.0,6.0,4.0,7.0,5.0,0.0
2118,RL_HP,1.0,4,7.0,7.0,7.0,4.0,6.0,1.0
2118,RL_HP,1.0,6,5.0,5.0,1.0,7.0,4.0,0.0
2118,RL_HP,2.0,12,1.0,1.0,5.0,7.0,4.0,0.0
2118,RL_HP,2.0,16,7.0,7.0,7.0,7.0,6.0,0.0
2119,RL,1.0,2,4.0,3.0,3.0,3.0,4.0,0.0
2119,RL,1.0,8,3.0,3.0,4.0,3.0,2.0,
2119,RL,2.0,10,6.0,6.0,5.0,5.0,5.0,1.0
2119,RL,2.0,14,5.0,4.0,4.0,5.0,4.0,
2119,RL_HP,1.0,4,7.0,6.0,5.0,5.0,5.0,
2119,RL_HP,1.0,6,3.0,4.0,4.0,4.0,3.0,
2119,RL_HP,2.0,12,7.0,7.0,7.0,6.0,5.0,1.0
2119,RL_HP,2.0,16,7.0,7.0,6.0,6.0,6.0,1.0
2120,RL,1.0,4,6.0,5.0,6.0,1.0,5.0,
2120,RL,1.0,8,4.0,3.0,4.0,1.0,2.0,0.0
2120,RL,2.0,12,1.0,2.0,1.0,6.0,1.0,0.0
2120,RL,2.0,14,4.0,3.0,1.0,5.0,1.0,
2120,RL_HP,1.0,2,5.0,2.0,2.0,5.0,6.0,0.0
2120,RL_HP,1.0,6,3.0,2.0,3.0,5.0,4.0,
2120,RL_HP,2.0,10,6.0,5.0,7.0,1.0,1.0,
2120,RL_HP,2.0,16,5.0,4.0,6.0,3.0,6.0,
